n_e20_avg[1/m^3],T_e_avg[keV],I_ST[kg],TBR,TBR_DDn,Cost_per_kWh[USD/MWh],Tdot_fusion[T/s],Tdot_breedingDT[T/s],Tdot_breedingDD[T/s],Tdot_diff[T/s],Tdot_tot[T/s],startup_time[hour],Pf_DD[MW],Pf_DD_DT[MW],Pf_DD_DHe3[MW],Pf_DD_tot[MW],Pf_DT[MW],P_e_net_DD[MW],Q_DD,P_e_net_DT[MW],Q_DT,E_lost[MJ],Dollar_lost[USD]
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.499999999999999944e-01,8.849334667016898560e+17,1.064328188792336800e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.376497505920732928e+18,4.082431200365053883e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.116550221733602524e+09,4.652292590556676686e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,5.000000000000000000e-01,2.374999999999999889e-01,8.849334667016898560e+17,1.064328188792336800e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.376497505920732928e+18,4.082431200365053883e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.116550221733602524e+09,7.366129935048072040e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,5.000000000000000000e-01,3.249999999999999556e-01,8.849334667016898560e+17,1.064328188792336800e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.376497505920732928e+18,4.082431200365053883e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.116550221733602524e+09,1.007996727953946441e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.124999999999999778e-01,8.849334667016898560e+17,1.064328188792336800e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.376497505920732928e+18,4.082431200365053883e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.116550221733602524e+09,1.279380462403085977e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,8.849334667016898560e+17,1.064328188792336800e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.376497505920732928e+18,4.082431200365053883e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.116550221733602524e+09,1.550764196852225661e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,6.250000000000000000e-01,1.499999999999999944e-01,8.849334667016898560e+17,1.064328188792336800e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.496727695253512704e+18,3.750514561901131856e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.025770591144647360e+09,4.274044129769363999e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,6.250000000000000000e-01,2.374999999999999889e-01,8.849334667016898560e+17,1.064328188792336800e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.496727695253512704e+18,3.750514561901131856e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.025770591144647360e+09,6.767236538801492751e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,6.250000000000000000e-01,3.249999999999999556e-01,8.849334667016898560e+17,1.064328188792336800e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.496727695253512704e+18,3.750514561901131856e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.025770591144647360e+09,9.260428947833620012e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,6.250000000000000000e-01,4.124999999999999778e-01,8.849334667016898560e+17,1.064328188792336800e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.496727695253512704e+18,3.750514561901131856e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.025770591144647360e+09,1.175362135686575025e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,6.250000000000000000e-01,5.000000000000000000e-01,8.849334667016898560e+17,1.064328188792336800e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.496727695253512704e+18,3.750514561901131856e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.025770591144647360e+09,1.424681376589787900e+08
